dateTime,open,high,low,close,volume,RSI21,VWAP,SMA21,EMA21,WMA21,MACD8_21
2021-06-11 22:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 22:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-11 23:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
